,city,city_code,control_type,elevation,location_type,project,sample_type,setting,station,surface,surface_material,traffic
haib17CEM4890_H3KHWCCXY_SL263355,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263356,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263357,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263358,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263359,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263360,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263361,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263362,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263363,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263364,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263365,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263366,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263367,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263368,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263369,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263370,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263371,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263637,auckland,AKL,,,,,environmental_microbiome,urban,,,glass,
haib17CEM4890_H75CGCCXY_SL263638,auckland,AKL,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263639,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263640,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263641,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263642,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263643,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263644,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263645,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263646,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263647,santiago,SCL,,,,,environmental_microbiome,,,railing,metal,
haib17CEM4890_H75CGCCXY_SL263648,santiago,SCL,,,,,environmental_microbiome,,,,metal,
haib17CEM4890_H75CGCCXY_SL263649,auckland,AKL,,,,,environmental_microbiome,urban,,,metal,
haib17CEM4890_H75CGCCXY_SL263650,auckland,AKL,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263651,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263652,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263653,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263654,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263655,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263656,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263657,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263658,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263659,santiago,SCL,,,,,environmental_microbiome,,,kiosk,metal,
haib17CEM4890_H75CGCCXY_SL263660,santiago,SCL,,,,,environmental_microbiome,,,,concrete,
haib17CEM4890_H75CGCCXY_SL263661,auckland,AKL,,,,,environmental_microbiome,urban,,,metal,
haib17CEM4890_H75CGCCXY_SL263662,auckland,AKL,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263663,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263664,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263665,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263666,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263667,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263668,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263669,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263670,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263671,santiago,SCL,,,,,environmental_microbiome,,,seat,metal,
haib17CEM4890_H75CGCCXY_SL263672,santiago,SCL,,,,,environmental_microbiome,,,,metal,
haib17CEM4890_H75CGCCXY_SL263673,auckland,AKL,,,,,environmental_microbiome,urban,,,wood,
haib17CEM4890_H75CGCCXY_SL263674,auckland,AKL,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263675,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263676,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263677,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263678,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263679,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263680,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263681,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263682,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263683,santiago,SCL,,,,,environmental_microbiome,,,railing,metal,
haib17CEM4890_H75CGCCXY_SL263684,santiago,SCL,,,,,environmental_microbiome,,,handrail,metal,
haib17CEM4890_H75CGCCXY_SL263685,auckland,AKL,,,,,environmental_microbiome,urban,,,glass,
haib17CEM4890_H75CGCCXY_SL263686,auckland,AKL,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263687,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263688,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263689,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263690,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263691,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263692,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263693,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263694,sacramento,SAC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263695,santiago,SCL,,,,,environmental_microbiome,,,other,metal,
haib17CEM4890_H75CGCCXY_SL263696,santiago,SCL,,,,,environmental_microbiome,,,door,metal,
haib17CEM4890_H75CGCCXY_SL263697,auckland,AKL,,,,,environmental_microbiome,urban,,,metal,
haib17CEM4890_H75CGCCXY_SL263698,auckland,AKL,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263699,hamilton,HAM,,,,,environmental_microbiome,,,,,
haib17CEM4890_H75CGCCXY_SL263700,hamilton,HAM,,,,,environmental_microbiome,,,,,
