,,FID,sample_number,,photo,place_type,building_setting,surface_material,surface_type,line,subway_station_autofill,car_or_station,subway_station_surface,subway_car_surface,car_location,occupancy,taxi,airport,park_surface,bus_surface,light_type,traffic,number_of_air_vents,place_name,notes,audio,longitude,latitude,time,city
Álvaro Aranguren,Sagrera,103,CDS16-BCN-095,21.06.2016,mdc_photo_cdv_photo_003_1466673937807.jpg,sub_line,urban,Metal,Handrail,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,101,CDS16-BCN-096,21.06.2016,no pic,sub_line,urban,Metal,handrail,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,102,CDS16-BCN-097,21.06.2016,no pic,sub_line,urban,Air,Air,,Sagrera,subway_station,,,,,,,,,,,,,Air control,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,104,CDS16-BCN-098,21.06.2016,mdc_photo_cdv_photo_004_1466674080845.jpg,sub_line,urban,Rubber,Escalator,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,105,CDS16-BCN-099,21.06.2016,mdc_photo_cdv_photo_005_1466674162650.jpg,sub_line,urban,Rubber,Escalator,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,106,CDS16-BCN-100,21.06.2016,mdc_photo_cdv_photo_006_1466674235754.jpg,sub_line,urban,Rubber,Escalator,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,107,CDS16-BCN-101,21.06.2016,mdc_photo_cdv_photo_007_1466674312836.jpg,sub_line,urban,Rubber,Escalator,,Sagrera,subway_station,,,,,,,,,,,,,,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,108,CDS16-BCN-102,21.06.2016,mdc_photo_cdv_photo_008_1466674437468.jpg,sub_line,urban,Metal,Poll,,Sagrera,subway_car,,Pole,middle,,,,,,,,,,L9 train,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,109,CDS16-BCN-103,21.06.2016,no pic ,sub_line,urban,Air,Air,,Sagrera,subway_car,,Other,middle,,,,,,,,,,L9 air control,,2.18671E+12,4.14205E+13,,Barcelona
Álvaro Aranguren,Sagrera,110,CDS16-BCN-104,21.06.2016,mdc_photo_cdv_photo_009_1466674651086.jpg,sub_line,urban,Plastic,Seats,,Sagrera,subway_car,,Center seat,middle,,Front seat,,,,,,,,L9 line,,2.18671E+12,4.14205E+13,,Barcelona
