Sample Number,Site,Surface,Collector,Date of Collection,Notes,
W0529,B - 174/175 St,Other,,,,
W0530,B - 174/175 St,Other,,,,
W0531,B/D - Tremont Ave,Turnstile,,,,
W0532,B/D - Tremont Ave,Other,,,,
W0533,B - 182/183 St,Other,,,,
W0534,B - 182/183 St,Other,,,,
W0535,B/D - Fordham Rd,Other,,,,
W0536,B/D - Fordham Rd,Other,,,,
W0537,B - Kingsbridge Rd,Other,,,,
W0538,B - Kingsbridge Rd,Other,,,,
W0539,B/D - Beford Park Blvd,Other,,,,
W0540,B/D - Beford Park Blvd,Other,,,,
W0541,B/D Train,Other,,,,
W0542,B/D Train,Other,,,,
W0543,B/D Train,Other,,,,
W0544,B/D Train,Other,,,,
W0545,B/D Train,Other,,,,
W0546,B/D Train,Other,,,,
W0547,B/D Train,Other,,,,
W0548,B/D Train,Other,,,,
W0549,B/D Train,Other,,,,
W0550,B/D Train,Other,,,,
W0551,4 - 167 St,Stairwell Railing,,,,
W0552,4 - 167 St,Wooden Bench,,,,
W0553,4 - 176 St,Other,,,,
W0554,4 - 176 St,Other,,,,
W0555,4 - Mt Eden Ave,Stairwell Railing,,,,
W0556,4 - Mt Eden Ave,Wooden Bench,,,,
W0557,4 - Burnside Ave,Other,,,,
W0558,4 - Burnside Ave,Other,,,,
W0559,4 - 183 St,Other,,,,
W0560,4 - 183 St,Other,,,,
W0561,4 - Fordham St,Other,,,,
W0562,4 - Fordham St,Other,,,,
W0563,4 - Kingsbridge Rd,Kiosk,,,,
W0564,4 - Kingsbridge Rd,Wooden Bench,,,,
W0565,4 - Lehman College,Other,,,,
W0566,4 - Lehman College,Other,,,,
W0567,4 - Mosholu Pkwy,Turnstile,,,,
W0568,4 - Mosholu Pkwy,Stairwell Railing,,,,
W0569,4 - Woodlawn,Wooden Bench,,,,
W0570,4 - Woodlawn,Kiosk,,,,
W0571,4 Train,Stairwell Railing,,,,
W0572,5 Train,Center seat,,,,
W0573,6 Train,Seat Rail,,,,
W0574,7 Train,Ceiling Rail,,,,
W0575,8 Train,Doors,,,,
W0576,9 Train,Seat near door,,,,
W0577,10 Train,,,,,
W0578,11 Train,Doors,,,,
W0579,12 Train,Pole,,,,
W0580,13 Train,,,,,
W0581,5 - 138 St,Wooden Bench,,,,
W0582,5 - 138 St,Other,,,,
W0583,5 - 3 Ave/149 St,Stairwell Railing,,,,
W0584,5 - 3 Ave/149 St,Other,,,,
W0585,5 - Jackson Ave,Other,,,,
W0586,5 - Jackson Ave,Turnstile,,,,
W0587,5 - Prospect Ave,,,,,
W0588,5 - Prospect Ave,Kiosk,,,,
W0589,5 - Intervale Ave,Wooden Bench,,,,
W0590,5 - Intervale Ave,Stairwell Railing,,,,
W0591,5 - Freeman St,Other,,,,
W0592,5 - Freeman St,Other,,,,
W0593,5 - West Farms Sq,Turnstile,,,,
W0594,5 - West Farms Sq,Kiosk,,,,
W0595,5 - Morris Park,Other,,,,
W0596,5 - Morris Park,Other,,,,
W0597,5 - Gun Hill Rd,Turnstile,,,,
W0598,5 - Gun Hill Rd,Other,,,,
W0599,5 - Eastchester-Dyre Ave,Stairwell Railing,,,,
W0600,5 - Eastchester-Dyre Ave,Other,,,,
W0601,5 Train,Center seat,,,,
W0602,5 Train,Pole,,,,
W0603,5 Train,Doors,,,,
W0604,5 Train,,,,,
W0605,5 Train,Seat near door,,,,
W0606,5 Train,Ceiling Rail,,,,
W0607,5 Train,Doors,,,,
W0608,5 Train,Pole,,,,
W0609,5 Train,Ceiling Rail,,,,
W0610,5 Train,Ceiling Rail,,,,
