Sample_#,Date_Collected,Bus_Number,Bus_Line,Area,Material,Label
CSD16-FAI-0381,,,,Jetway 2 floor (right after above area),,Airport Jetway 2 floor (right after above area)_28_LB_kan
CSD16-FAI-0382,,,,Jetway 2 floor (right after above area),,Airport Jetway 2 floor (right after above area)_28_LB_tet
CSD16-FAI-0383,,,,Escalator going down to exit,,Airport Escalator going down to exit_28_LB_none
CSD16-FAI-0384,,,,Escalator going down to exit,,Airport Escalator going down to exit_28_LB_kan
CSD16-FAI-0385,,,,Baggage belt (main one/there is only 1 main one),,Airport Baggage belt (main one/there is only 1 main one)_28_LB_none
CSD16-FAI-0386,,,,Baggage belt (main one/there is only 1 main one),,Airport Baggage belt (main one/there is only 1 main one)_28_LB_tet
CSD16-FAI-0387,,,,Bench by entrance/exit (indoors),,Airport Bench by entrance/exit (indoors)_28_LB_tet
CSD16-FAI-0388,,,,Kiosk (composite of 3),,Airport Kiosk (composite of 3)_28_LB_none
CSD16-FAI-0389,,,,Men's bathroom sink counter ,,Airport Men's bathroom sink counter _28_LB_amp
CSD16-FAI-0390,,,,Men's bathroom sink counter ,,Airport Men's bathroom sink counter _28_LB_chloram
CSD16-FAI-0391,,,,Men's bathroom sink counter ,,Airport Men's bathroom sink counter _28_LB_strep
CSD16-FAI-0392,,,,Jetway 2 floor (as soon as step out of plane),,Airport Jetway 2 floor (as soon as step out of plane)_37_TSA_none
CSD16-FAI-0393,,,,Jetway 2 floor (as soon as step out of plane),,Airport Jetway 2 floor (as soon as step out of plane)_37_TSA_amp
CSD16-FAI-0394,,,,Jetway 2 floor (as soon as step out of plane),,Airport Jetway 2 floor (as soon as step out of plane)_37_TSA_strep
CSD16-FAI-0395,,,,Jetway 2 floor (as soon as step out of plane),,Airport Jetway 2 floor (as soon as step out of plane)_37_TSA_tet
CSD16-FAI-0396,,,,Jetway 2 handrail,,Airport Jetway 2 handrail_37_TSA_kan
CSD16-FAI-0397,,,,Jetway 2 handrail,,Airport Jetway 2 handrail_37_TSA_strep
CSD16-FAI-0398,,,,Jetway 1 seats waiting area,,Airport Jetway 1 seats waiting area_37_TSA_none
CSD16-FAI-0399,,,,Jetway 1 seats waiting area,,Airport Jetway 1 seats waiting area_37_TSA_amp
CSD16-FAI-0400,,,,Jetway 1 seats waiting area,,Airport Jetway 1 seats waiting area_37_TSA_kan
CSD16-FAI-0401,,,,Jetway 1 seats waiting area,,Airport Jetway 1 seats waiting area_37_TSA_tet
CSD16-FAI-0402,,,,Jetway 1 floor (as soon as step out of plane),,Airport Jetway 1 floor (as soon as step out of plane)_37_TSA_none
CSD16-FAI-0403,,,,Jetway 1 floor (as soon as step out of plane),,Airport Jetway 1 floor (as soon as step out of plane)_37_TSA_amp
CSD16-FAI-0404,,,,Jetway 1 floor (as soon as step out of plane),,Airport Jetway 1 floor (as soon as step out of plane)_37_TSA_kan
CSD16-FAI-0405,,,,Jetway 1 floor (as soon as step out of plane),,Airport Jetway 1 floor (as soon as step out of plane)_37_TSA_strep
CSD16-FAI-0406,,,,In front of Gate 1 carpet (by seating area),,Airport In front of Gate 1 carpet (by seating area)_37_TSA_none
CSD16-FAI-0407,,,,In front of Gate 1 carpet (by seating area),,Airport In front of Gate 1 carpet (by seating area)_37_TSA_amp
CSD16-FAI-0408,,,,In front of Gate 1 carpet (by seating area),,Airport In front of Gate 1 carpet (by seating area)_37_TSA_kan
CSD16-FAI-0409,,,,water fountain by gate 2,,Airport water fountain by gate 2_37_TSA_none
CSD16-FAI-0410,,,,water fountain by gate 3,,Airport water fountain by gate 3_37_TSA_amp
CSD16-FAI-0411,,,,water fountain by gate 4,,Airport water fountain by gate 4_37_TSA_kan
CSD16-FAI-0412,,,,water fountain by gate 5,,Airport water fountain by gate 5_37_TSA_tet
CSD16-FAI-0413,,,,Starbucks table,,Airport Starbucks table_37_TSA_none
CSD16-FAI-0414,,,,Starbucks table,,Airport Starbucks table_37_TSA_amp
CSD16-FAI-0415,,,,Starbucks table,,Airport Starbucks table_37_TSA_kan
CSD16-FAI-0416,,,,Starbucks table,,Airport 20160919_CSD16-FAI-0416_Starbucks table_37
CSD16-FAI-0417,,,,Starbuck chair,,Airport 20160919_CSD16-FAI-0417_Starbuck chair_37
CSD16-FAI-0418,,,,Starbuck chair,,Airport Starbucks table_37_TSA_strep
CSD16-FAI-0419,,,,Starbuck chair,,Airport Starbuck chair_37_TSA_none
CSD16-FAI-0420,,,,Starbuck chair,,Airport Starbuck chair_37_TSA_amp
CSD16-FAI-0421,,,,Women's Bathroom (handicapped stall) seat,,Airport Starbuck chair_37_TSA_kan
CSD16-FAI-0422,,,,Women's Bathroom (handicapped stall) seat,,Airport Starbuck chair_37_TSA_strep
CSD16-FAI-0423,,,,Women's Bathroom (handicapped stall) seat,,Airport Women's Bathroom (handicapped stall) seat_37_TSA_none
CSD16-FAI-0424,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's Bathroom (handicapped stall) seat_37_TSA_strep
CSD16-FAI-0425,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's Bathroom (handicapped stall) seat_37_TSA_tet
CSD16-FAI-0426,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_TSA_none
CSD16-FAI-0427,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_TSA_amp
CSD16-FAI-0428,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_TSA_kan
CSD16-FAI-0429,,,,Family restroom sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_TSA_strep
CSD16-FAI-0430,,,,Family restroom sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_TSA_tet
CSD16-FAI-0431,,,,Family restroom sink counter,,Airport Family restroom sink counter_37_TSA_none
CSD16-FAI-0432,,,,Family restroom sink counter,,Airport Family restroom sink counter_37_TSA_amp
CSD16-FAI-0433,,,,Family restroom sink counter,,Airport Family restroom sink counter_37_TSA_kan
CSD16-FAI-0434,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom sink counter_37_TSA_strep
CSD16-FAI-0435,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom sink counter_37_TSA_tet
CSD16-FAI-0436,,,,Family restroom floor,,Airport Family restroom wooden bench (prob used for bags or to sit kids)_37_TSA_none
CSD16-FAI-0437,,,,Family restroom floor,,Airport Family restroom wooden bench (prob used for bags or to sit kids)_37_TSA_strep
CSD16-FAI-0438,,,,Family restroom floor,,Airport Family restroom floor_37_TSA_kan
CSD16-FAI-0439,,,,Men's bathroom urinal (composite of 3),,Airport Family restroom floor_37_TSA_strep
CSD16-FAI-0440,,,,Men's bathroom urinal (composite of 3),,Airport Family restroom floor_37_TSA_tet
CSD16-FAI-0441,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_37_TSA_none
CSD16-FAI-0442,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_37_TSA_kan
CSD16-FAI-0443,,,,Jetway 2 floor (right after above area),,Airport Men's bathroom urinal (composite of 3)_37_TSA_strep
CSD16-FAI-0444,,,,Jetway 2 floor (right after above area),,Airport Men's bathroom urinal (composite of 3)_37_TSA_tet
CSD16-FAI-0445,,,,Escalator going down to exit,,Airport Jetway 2 floor (right after above area)_37_TSA_none
CSD16-FAI-0446,,,,Escalator going down to exit,,Airport Jetway 2 floor (right after above area)_37_TSA_kan
CSD16-FAI-0447,,,,Baggage belt (main one/there is only 1 main one),,Airport Escalator going down to exit_37_TSA_none
CSD16-FAI-0448,,,,Bench by entrance/exit (indoors),,Airport Escalator going down to exit_37_TSA_kan
CSD16-FAI-0449,,,,Bench by entrance/exit (indoors),,Airport Baggage belt (main one/there is only 1 main one)_37_TSA_none
CSD16-FAI-0450,,,,Bench by entrance/exit (indoors),,Airport Bench by entrance/exit (indoors)_37_TSA_none
