city,barcode,setting,ground_level,traffic,latitude,longitude,material,sample_place,,
brisbane,235037729,urban,above_ground_open,,-27.402771,153.10858,plastic,touchscreen,,
brisbane,235060755,urban,above_ground_open,,-27.402761,153.108473,other,other,,
brisbane,235062771,urban,above_ground_open,,-27.49866,153.011066,metal,vert_pole,,
denver,1,suburban,under_ground,<10,40.024791,-105.251176,,other,,
denver,235042357,suburban,under_ground,very few people; missed morning traffic in new station,40.025495,-105.251112,rubber,escalator_handrail,,
denver,3,suburban,under_ground,<10,40.024608,-105.251351,,other,,
denver,235041586,suburban,under_ground,very empty station; missed morning traffic,40.025495,-105.251112,other,ticket_machine,,
denver,235040335,suburban,under_ground,very few people; missed morning traffic,40.025495,-105.251112,metal,infoboard,,
denver,235040500,suburban,under_ground,very few people; missed morning traffic,40.025495,-105.251112,metal,entrance_door,,
denver,235040391,suburban,under_ground,very few people; missed morning traffic,40.025495,-105.251112,metal,entrance_door,,
denver,235040398,suburban,under_ground,very few people; missed morning traffic at new station,40.025495,-105.251112,plastic,escalator_handrail,,
denver,235041327,suburban,under_ground,very few people; missed morning traffic at new station,40.025495,-105.251112,metal,other,,
denver,235040354,suburban,under_ground,very few people; missed morning traffic at new station,40.025495,-105.251112,plastic,table,,
denver,235041294,suburban,under_ground,very few people; missed morning traffic at new station,40.025495,-105.251112,metal,other,,
denver,235041349,suburban,under_ground,very few people; missed morning traffic at new station,40.025495,-105.251112,metal,other,,
denver,3,suburban,under_ground,<10,40.024799,-105.251168,,other,,
denver,4,suburban,above_ground_mixed,,39.847479,-104.673917,,other,,
denver,2,urban,under_ground,< 10 people in station,40.02487,-105.251396,,ticket_machine,,
denver,235041245,urban,above_ground_mixed,high foot traffic,39.847508,-104.673781,rubber,escalator_handrail,,
denver,235040333,urban,above_ground_open,heavy foot traffic,39.847679,-104.673903,plastic,other,,
denver,235041396,urban,above_ground_mixed,heavy foot traffic,39.847618,-104.673897,rubber,escalator_handrail,,
denver,6,suburban,above_ground_mixed,50-100,39.847707,-104.673946,,other,,
denver,235040382,suburban,above_ground_mixed,50 persons,39.847586,-104.673925,painted_metal,bench,,
denver,235041599,suburban,above_ground_mixed,,39.847559,-104.673912,plastic,entrance_door,,
denver,235040382,urban,above_ground_open,very low traffic at benches,39.847683,-104.673866,metal,bench,,
denver,235040337,urban,above_ground_open,mild use,39.84761,-104.674092,plastic,gargabe_can,,
denver,235041725,suburban,above_ground_mixed,,39.847471,-104.674046,metal,vert_pole,,
denver,235030337,urban,above_ground_open,,39.847573,-104.673867,other,other,,
denver,235041401,urban,above_ground_mixed,heavy to moderate traffic,39.847289,-104.673921,metal,entrance_door,,
denver,235041277,urban,above_ground_mixed,heavy traffic,39.847197,-104.673932,other,seat,,
denver,235040353,urban,above_ground_mixed,heavy traffic,39.839657,-104.677972,other,seat,,
denver,9,suburban,above_ground_closed,,39.837856,-104.710129,,other,,
denver,235042329,urban,above_ground_mixed,heavy traffic,39.824453,-104.77355,metal_plastic,other,,
denver,2350404350,urban,above_ground_mixed,low traffic for hand rail,39.775553,-104.928187,metal,handrail,,
denver,235040400,urban,above_ground_mixed,heavy foot traffic,39.753164,-105.001042,other,ticket_machine,,
denver,235041579,urban,above_ground_mixed,heavy traffic and use,39.753107,-105.001007,plastic,touchscreen,,
denver,11,urban,above_ground_open,50-100,39.753341,-105.001095,,other,,
denver,235041455,suburban,above_ground_mixed,mild traffic and use,39.75313,-105.000999,painted_metal,gargabe_can,,
denver,235041392,urban,above_ground_mixed,heavy traffic,39.753351,-105.000924,metal,other,,
denver,235040348,urban,above_ground_open,mild traffic and use,39.753384,-105.000923,metal,bench,,
denver,235040404,urban,above_ground_mixed,heavy foot traffic,39.752994,-105.000973,rubber,escalator_handrail,,
denver,235042354,urban,under_ground,,39.75386,-105.001126,painted_metal,bench,,
denver,235041582,urban,above_ground_open,light to moderate foot traffic,39.771,-104.973185,metal,handrail,,
doha,235039952,urban,above_ground_closed,,25.3183668,51.4395511,plastic,handrail,,
doha,235040865,urban,above_ground_closed,,25.3183539,51.4395408,plastic,handrail,,
doha,235040651,urban,above_ground_open,,25.3183484,51.4395878,other,entrance_door,,
doha,235042076,urban,above_ground_closed,,25.3183401,51.4396229,polyester,bench,,
doha,235039775,urban,above_ground_closed,,25.3183401,51.4396229,plastic,handrail,,
doha,235039755,urban,above_ground_closed,,25.3183401,51.4396229,plastic,handrail,,
doha,235040673,urban,above_ground_open,,25.3183401,51.4396229,other,entrance_door,,
doha,235042043,urban,above_ground_open,,25.32925924,51.53318994,other,entrance_door,,
doha,235040863,urban,above_ground_open,,25.32948098,51.53365413,other,entrance_door,,
doha,235040862,urban,above_ground_open,,25.32962543,51.53466238,plastic,entrance_door,,
doha,235041556,urban,above_ground_open,,25.31976969,51.52543054,other,entrance_door,,
doha,235039807,urban,above_ground_open,,25.31880671,51.52637813,other,entrance_door,,
doha,235040601,urban,above_ground_open,,25.32060484,51.52809126,metal,entrance_door,,
doha,235078664,rural,above_ground_open,,24.87546469,51.11637746,other,other,,
doha,235078864,rural,above_ground_open,,25.26056388,51.48440146,other,other,,
doha,235078864,rural,above_ground_open,,25.2604991,51.4844104,other,ground,,
doha,235079208,urban,above_ground_open,,25.26045515,51.48411461,other,other,,
