Sample_ID,Date_Collected,Collected_By,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average_Ridership,Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature ℃,Collection_Time,,,
CSD16-HKG-0016,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Tai Po Market,,,22.44643311,114.1663814,Desk,Plastic,30.1,9:51:00 AM,,,
CSD16-HKG-0017,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Tai Po Market,,,22.44621496,114.1664886,Toilet Counter,Plastic,29.9,9:53:00 AM,,,
CSD16-HKG-0018,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Library,Tai Po Market,,,22.44616042,114.1663009,Bookshelf,Metal,29.7,9:58:00 AM,,,
CSD16-HKG-0019,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Tai Po Market,,,22.44625462,114.1662043,Bench/Seat,Vinyl,29.4,10:04:00 AM,,,
CSD16-HKG-0020,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Bus,Tai Po Market,,,22.44615569,114.1669464,Handrail,Metal,29.1,10:21:00 AM,,,
CSD16-HKG-0021,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Bus,Tai Po Market,,,22.44788361,114.1669464,Board Sign,Plastic,29.6,10:27:00 AM,,,
CSD16-HKG-0022,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Bus,Tai Po Market,,,22.44590759,114.1669464,Wall,Tile,29.8,10:30:00 AM,,,
CSD16-HKG-0023,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Tai Po Market,,,22.44423956,114.1700302,Kiosk,Glass,30.1,10:35:00 AM,,,
CSD16-HKG-0024,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Tai Po Market,,,22.44478136,114.1705219,Handrail,Metal,30.5,10:38:00 AM,,,
CSD16-HKG-0025,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Tai Po Market,,,22.44473547,114.171077,Bench,Wood,30.8,10:45:00 AM,,,
CSD16-HKG-0026,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Sha Tin,,,22.38175846,114.1870095,Bench,Wood,30.2,11:06:00 AM,,,
CSD16-HKG-0027,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,Sha Tin,,,22.38206344,114.186852,Handrail,Metal,30.4,11:10:00 AM,,,
CSD16-HKG-0028,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Sha Tin,,,22.3782232,114.1870833,Bench/Seat,Vinyl,30,11:19:00 AM,,,
CSD16-HKG-0029,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Sha Tin,,,22.37805547,114.187324,Bookshelf,Metal,29.7,11:22:00 AM,,,
CSD16-HKG-0030,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Library,Sha Tin,,,22.3775991,114.187088,Desk,Plastic,29.3,11:25:00 AM,,,
CSD16-HKG-0031,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Sha Tin,,,22.3775991,114.187088,Bench/Seat,Vinyl,29.2,11:28:00 AM,,,
CSD16-HKG-0032,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Bus,Sha Tin,,,22.38151321,114.1854088,Handrail,Metal,29.6,11:42:00 AM,,,
CSD16-HKG-0033,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Bus,Sha Tin,,,22.38188487,114.1882253,Board Sign,Plastic,30,11:44:00 AM,,,
CSD16-HKG-0034,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Bus,Sha Tin,,,22.38216264,114.1887188,Wall,Concrete,30.4,11:47:00 AM,,,
CSD16-HKG-0035,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,Sha Tin,,,22.38209164,114.1883228,Kiosk,Glass,30,11:59:00 AM,,,
CSD16-HKG-0036,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,Wu Kai Sha,,,22.42897987,114.2433715,Bench/Seat,Stainless Steel,27.6,12:35:00 PM,,,
CSD16-HKG-0037,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,Wu Kai Sha,,,22.42901954,114.2434573,Handrail,Metal,27.7,12:38:00 PM,,,
CSD16-HKG-0038,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Wu Kai Sha,,,22.42905921,114.2431355,Kiosk,Glass,27.9,12:41:00 PM,,,
CSD16-HKG-0039,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Bus,Wu Kai Sha,,,22.42842451,114.2444229,Handrail,Metal,27.9,12:45:00 PM,,,
CSD16-HKG-0040,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Bus,Wu Kai Sha,,,22.42844434,114.2439508,Wall,Tile,28,12:47:00 PM,,,
CSD16-HKG-0041,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Bus,Wu Kai Sha,,,22.42844434,114.2437148,Board Sign,Plastic,28.3,12:50:00 PM,,,
CSD16-HKG-0043,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Lam Tin,,,22.30461134,114.2295673,Kiosk,Glass,27.9,1:42:00 AM,,,
CSD16-HKG-0044,6/21/16,Marcus H Y Leung,China,N/A,Hong Kong,Bus,Lam Tin,,,22.30432363,114.2318695,Handrail,Metal,28.9,1:47:00 AM,,,
CSD16-HKG-0045,6/21/16,Marcus H Y Leung,China,N/A,Hong Kong,Bus,Lam Tin,,,22.3046614,114.2320418,Board Sign,Plastic,29.1,1:50:00 AM,,,
CSD16-HKG-0046,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Bus,Lam Tin,,,22.30517755,114.2321062,Wall,Concrete,29.4,1:53:00 AM,,,
CSD16-HKG-0047,6/21/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Lam Tin,,,22.30991406,114.2374693,Desk,Stone,28.7,3:44:00 AM,,,
CSD16-HKG-0048,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Library,Lam Tin,,,22.30990352,114.2374532,Bench/Seat,Plastic,28.7,3:44:00 AM,,,
CSD16-HKG-0049,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Library,Lam Tin,,,22.31006605,114.2370415,Bookshelf,Metal,28.7,3:53:00 AM,,,
CSD16-HKG-0050,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Library,Lam Tin,,,22.31023479,114.2374974,Bench/Seat,Vinyl,28.7,3:54:00 AM,,,
CSD16-HKG-0051,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Lam Tin,,,22.30694438,114.2330074,Bench/Seat,Plastic,29.7,3:56:00 AM,,,
CSD16-HKG-0052,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Lam Tin,,,22.3068352,114.2328572,Handrail,Metal,29.7,3:55:00 AM,,,
CSD16-HKG-0053,6/21/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,Po Lam,,,22.31814183,114.2596225,Handrail,Metal,29.4,3:32:00 AM,,,
CSD16-HKG-0054,6/21/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,Po Lam,,,22.32258677,114.2579412,Kiosk,Glass,29.2,3:33:00 AM,,,
CSD16-HKG-0055,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Library,Po Lam,,,22.31811702,114.2592591,Bench/Seat,Vinyl,29.7,3:40:00 AM,,,
CSD16-HKG-0056,6/21/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Po Lam,,,22.31774337,114.2594862,Bookshelf,Metal,29.7,3:41:00 AM,,,
CSD16-HKG-0057,6/21/16,Marcus H Y Leung,China,N/A,Hong Kong,Library,Po Lam,,,22.31772352,114.2597008,Desk,Plastic,29.7,3:43:00 AM,,,
CSD16-HKG-0058,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Library,Po Lam,,,22.31794188,114.259572,Bench/Seat,Leather,29.7,3:46:00 AM,,,
CSD16-HKG-0059,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Po Lam,,,22.31995626,114.2595599,Handrail,Metal,30.5,4:10:00 AM,,,
CSD16-HKG-0060,6/21/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,Tseung Kwan O,,,22.30777816,114.2595935,Handrail,Metal,29.2,5:21:00 AM,,,
CSD16-HKG-0061,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Tseung Kwan O,,,22.30720245,114.2595077,Bench/Seat,Metal,29.3,5:19:00 AM,,,
CSD16-HKG-0062,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,Tseung Kwan O,,,22.30789727,114.2601943,Kiosk,Glass,29.2,5:34:00 AM,,,
CSD16-HKG-0063,6/21/16,Hedwig Cheung,China,N/A,Hong Kong,Metro,LOHAS Park,,,22.29514195,114.2691207,Handrail,Metal,29.1,5:36:00 AM,,,
