INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND_OUTBOUND_METADATA,OUTBOUND,OUTBOUND,OUTBOUND,METADATA
inbound_9,inbound_9__C06,inbound_9,C06,235030127,nyc_5__A07,New_York_City,USA,\N
inbound_9,inbound_9__D01,inbound_9,D01,235030073,nyc_5__B08,New_York_City,USA,\N
inbound_9,inbound_9__D02,inbound_9,D02,235034029,nyc_5__E05,New_York_City,USA,\N
inbound_9,inbound_9__D03,inbound_9,D03,235034006,nyc_5__A06,New_York_City,USA,\N
inbound_9,inbound_9__D05,inbound_9,D05,235034015,nyc_5__A08,New_York_City,USA,\N
inbound_9,inbound_9__D06,inbound_9,D06,235030114,nyc_5__D08,New_York_City,USA,\N
inbound_9,inbound_9__D07,inbound_9,D07,235033983,nyc_5__F05,New_York_City,USA,\N
inbound_9,inbound_9__D08,inbound_9,D08,235034010,nyc_5__E07,New_York_City,USA,\N
inbound_9,inbound_9__D09,inbound_9,D09,235030095,nyc_5__C08,New_York_City,USA,\N
inbound_9,inbound_9__D10,inbound_9,D10,235034028,nyc_5__F06,New_York_City,USA,\N
inbound_9,inbound_9__D11,inbound_9,D11,235034011,nyc_5__G08,New_York_City,USA,\N
inbound_9,inbound_9__E01,inbound_9,E01,235029456,nyc_5__F07,New_York_City,USA,\N
inbound_9,inbound_9__E02,inbound_9,E02,235030094,nyc_5__C06,New_York_City,USA,\N
inbound_9,inbound_9__E03,inbound_9,E03,235030123,nyc_5__C05,New_York_City,USA,\N
