,building_setting,car_location,car_or_station,city,humidity,light_type,line,place_type,subway_station_autofill,subway_station_surface,surface_material,temperature,temperature_type,traffic,weather
CDC-16-SAC-A3,urban,,subway_station,sacramento,18,natural_light,Blue,sub_line,Marconi/Arcade,Top of a kiosk,,99,Farenheit,5,sunny
CDC-16-SAC-A4,urban,first,subway_car,sacramento,,electric_light,Blue,sub_line,,Side wall of train,,75,Farenheit,20,sunny
CDC-16-SAC-A5,urban,,,sacramento,,electric_light,,airport,Sacramento International Airport,Top of table,,,,10,sunny
CDC-16-SAC-NA6,urban,,,sacramento,,electric_light,,other,,Counter top,,,,0-5,sunny
CDC-16-SAC-N1,urban,,,sacramento,,electric_light,,,,Counter top,,,,0-6,sunny
CDC-16-SAC-N2,urban,,,sacramento,,electric_light,,,,Counter top,,,,0-7,sunny
CDC-16-SAC-N3,urban,,,sacramento,,electric_light,,,,Counter top,,,,0-8,sunny
CDS16-BCN-001,urban,,subway_station,barcelona,,,,sub_line,Fondo,,Glass,,,,German
CDS16-BCN-002,urban,,subway_station,barcelona,,,,sub_line,Fondo,,Rubber,,,,German
CDS16-BCN-003,urban,,subway_station,barcelona,,,,sub_line,Fondo,,Metal,,,,German
CDS16-BCN-004,urban,,subway_station,barcelona,,,,sub_line,Fondo,,Metal,,,,German
CDS16-BCN-005,urban,,subway_station,barcelona,,,,sub_line,Fondo,,Air,,,,German
CDS16-BCN-006,urban,,subway_station,barcelona,,,,sub_line,Fondo,,Air,,,,German
CDS16-BCN-007,urban,,subway_station,barcelona,,,,sub_line,Fondo,,Rubber,,,,German
CDS16-BCN-008,urban,,subway_station,barcelona,,,,sub_line,Fondo,,Metal,,,,German
CDS16-BCN-009,urban,,subway_car,barcelona,,,,sub_line,Fondo,,Metal,,,,German
CDS16-BCN-010,urban,,subway_car,barcelona,,,,sub_line,Fondo,,Plastic,,,,German
CDS16-BCN-011,urban,,subway_car,barcelona,,,,sub_line,Baro de Viver,,Metal,,,,German
CDS16-BCN-012,urban,,subway_station,barcelona,,,,sub_line,Baro de Viver,,Glass,,,,German
CDS16-BCN-013,urban,,subway_station,barcelona,,,,sub_line,Baro de Viver,,Metal,,,,German
CDS16-BCN-014,urban,,subway_station,barcelona,,,,sub_line,Baro de Viver,,Metal,,,,German
CDS16-BCN-015,urban,,subway_station,barcelona,,,,sub_line,Baro de Viver,,Air,,,,German
CDS16-BCN-016,urban,,subway_station,barcelona,,,,sub_line,Baro de Viver,,Rubber,,,,German
CDS16-BCN-017,urban,,subway_station,barcelona,,,,sub_line,Baro de Viver,,Air,,,,German
CDS16-BCN-018,urban,,subway_car,barcelona,,,,sub_line,Baro de Viver,,Plastic,,,,German
CDS16-BCN-022,urban,,subway_station,barcelona,,,,sub_line,Lesseps,,Glass,,,,Mattia Bosio
